Sport,Country,League,Participants,SportId,SportIndex,CountryId,CountryIndex,LeagueId,LeagueIndex,Bet,HomeTeamId,HomeTeamIndex,AwayTeamId,AwayTeamIndex,HomeOdd,DrawOdd,AwayOdd,IsPlayoffs,IsCup,IsWomen,Prediction,Probability,Kelly
basketball,europe,fiba-europe-cup,Kataja - FC Porto,7,6,196,40,2854,4,1,68537,12,46141,10,1.23,0.0,4.26,0,1,0,1,0.7427631568921185,-0.3756579000986708
hockey,sweden,hockeyettan-ostra,Huddinge - Vallentuna,5,4,283,127,3358,5,1,62264,26,62435,41,1.09,9.9,12.2,0,0,0,1,0.8850010564789476,-0.39276498264385584
soccer,italy,coppa-italia-primavera,Genoa U19 - Ternana U19,9,8,220,64,2377,35,1,54470,6,54472,8,1.29,5.35,6.36,0,1,0,1,0.6812323052982177,-0.4179666419493077
soccer,serbia,serbian-cup,Vojvodina - Buducnost Dobanovci,9,8,272,116,2567,2,1,59664,6,59690,2,1.18,6.0,10.26,0,1,0,1,0.7794257944528727,-0.44598645858672376
soccer,bosnia-and-herzegovina,bosnia-and-herzegovina-cup,Svatovac Poljice - Sloga Simin Han,9,8,173,17,2040,3,2,0,0,42428,1,4.65,4.56,1.49,0,1,0,2,0.5242053427413911,-0.44680416186801486
volleyball,turkey,division-1-women,Beylikduzu W - Fenerbahce W,2,1,292,136,3812,3,2,86933,21,69095,1,6.82,0.0,1.08,0,0,1,2,0.8922569872935228,-0.45453067153744214
soccer,austria,regionalliga-west,Grodig - Saalfelden,9,8,165,9,2009,4,1,41458,10,41599,4,1.17,6.29,10.03,0,0,0,1,0.7880083043866981,-0.45900166980919593
volleyball,italy,serie-a1-women,&nbsp;Conegliano W - Firenze W,2,1,220,64,3737,5,1,84317,0,82839,20,1.09,0.0,6.44,0,0,1,1,0.8788101598671395,-0.4677436193868643
soccer,poland,iii-liga-group-ii-2017-2018,Gornik Konin - Lech Poznan 2,9,8,262,106,0,-1,2,0,0,0,0,5.5,4.5,1.4,0,0,0,2,0.5609875725167929,-0.5365434961912251
volleyball,turkey,division-1-women,Besiktas W - Vakifbank W,2,1,292,136,3812,3,2,69170,30,84318,1,5.81,0.0,1.11,0,0,1,2,0.8474759274098559,-0.5391065506823621
soccer,hungary,hungarian-cup,Ivancsa - MTK Budapest,9,8,212,56,2309,5,2,0,0,50764,9,6.86,4.8,1.32,0,1,0,2,0.6199487266230058,-0.5677115026801008
soccer,netherlands,knvb-beker,Heracles - Hoek,9,8,248,92,2448,4,1,55935,15,56092,78,1.02,13.44,29.54,0,0,0,1,0.9691702940328805,-0.5723150043230923
basketball,europe,euroleague-women,Perfumerias Avenida W - Wisla Can-Pack W,7,6,196,40,2886,36,1,69098,4,69104,10,1.08,0.0,7.7,0,0,1,1,0.8816757089684574,-0.5973779289258235
soccer,serbia,serbian-cup,Zlatibor Cajetina - Cukaricki,9,8,272,116,2567,2,2,0,0,59666,8,7.63,5.02,1.28,0,1,0,2,0.6457266600913267,-0.6195352681539348
